"id","price_doc"
32941,52371472.0118463
34670,57632927.584573
35108,71960275.8364597
37686,52986657.5865036
30474,531890760.76615
30475,444000705.796966
30476,528611281.103121
30477,479856350.112753
30478,529704440.990797
30479,511273765.284573
30480,532328024.721221
30481,522926849.687204
30482,517898314.203892
30483,522489585.732133
30484,535694957.175264
30485,531453496.81108
30486,536175947.525842
30487,530141704.945868
30488,465645271.572959
30489,465645271.572959
30490,360483290.378488
30491,410550013.234068
30492,480512246.045358
30493,447280185.459995
30494,477232766.382329
30495,470236543.1012
30496,398787612.84267
30497,444000705.796966
30498,546101839.305943
30499,474827814.629441
30500,455369568.628801
30501,517023786.293751
30502,547194999.19362
30503,534514344.496573
30504,531453496.81108
30505,438075779.20576
30506,499489501.695421
30507,531453496.81108
30508,504124499.619169
30509,499751860.068463
30510,491946698.470454
30511,518991474.091568
30512,526424961.327768
30513,531453496.81108
30514,465382913.199917
30515,496625422.789709
30516,485846866.297219
30517,486940026.184896
30518,538843257.651772
30519,548944055.013902
30520,529245313.837973
30521,534295712.519038
30522,464573974.883036
30523,532765288.676291
30524,498002804.248181
30525,536263400.316856
30526,532983920.653826
30527,493848796.675011
30528,531234864.833544
30529,531453496.81108
30530,536482032.294391
30531,449466505.235348
30532,508278507.192339
30533,492537004.809799
30534,478544558.247541
30535,494898230.16718
30536,483791725.708388
30537,452527352.920842
30538,552004902.699396
30539,389167805.831117
30540,492821226.380595
30541,520959161.889386
30542,541073303.822632
30543,541073303.822632
30544,477451398.359865
30545,515930626.406074
30546,525550433.417627
30547,482261301.865641
30548,509808931.035087
30549,522489585.732133
30550,452527352.920842
30551,522489585.732133
30552,542778633.247407
30553,526206329.350233
30554,449029241.280278
30555,482479933.843176
30556,514028528.201517
30557,480074982.090288
30558,499095964.135858
30559,533639816.586432
30560,545883207.328408
30561,514618834.540863
30562,480730878.022894
30563,529704440.990797
30564,516149258.38361
30565,431757315.05499
30566,433287738.897737
30567,541291935.800167
30568,497346908.315575
30569,477670030.3374
30570,532546656.698756
30571,516039942.394842
30572,532328024.721221
30573,536482032.294391
